Round,Attacker Rolls,Defender Rolls,Attacker Loses,Defender Loses,Attacker Army Size,Defender Army Size
1,"[5, 4, 3]","[4, 2]",0,2,50,98
2,"[5, 3, 1]","[5, 5]",2,0,48,98
3,"[6, 5, 4]","[6, 5]",2,0,46,98
4,"[4, 1, 1]","[6, 6]",2,0,44,98
5,"[6, 5, 1]","[4, 1]",0,2,44,96
6,"[6, 6, 5]","[3, 3]",0,2,44,94
7,"[4, 2, 1]","[3, 2]",1,1,43,93
8,"[5, 4, 2]","[4, 4]",1,1,42,92
9,"[3, 2, 1]","[3, 1]",1,1,41,91
10,"[4, 4, 1]","[3, 2]",0,2,41,89
11,"[6, 4, 3]","[5, 3]",0,2,41,87
12,"[6, 6, 5]","[6, 1]",1,1,40,86
13,"[3, 2, 1]","[5, 4]",2,0,38,86
14,"[6, 5, 1]","[6, 5]",2,0,36,86
15,"[5, 2, 1]","[6, 5]",2,0,34,86
16,"[4, 3, 3]","[4, 2]",1,1,33,85
17,"[6, 6, 4]","[5, 3]",0,2,33,83
18,"[5, 5, 1]","[6, 2]",1,1,32,82
19,"[5, 4, 2]","[6, 4]",2,0,30,82
20,"[6, 6, 1]","[2, 1]",0,2,30,80
21,"[5, 5, 3]","[5, 1]",1,1,29,79
22,"[6, 5, 2]","[3, 3]",0,2,29,77
23,"[6, 6, 5]","[6, 5]",1,1,28,76
24,"[5, 2, 1]","[6, 6]",2,0,26,76
25,"[6, 5, 4]","[3, 2]",0,2,26,74
26,"[4, 3, 1]","[4, 2]",1,1,25,73
27,"[6, 2, 2]","[5, 1]",0,2,25,71
28,"[4, 4, 1]","[5, 2]",1,1,24,70
29,"[6, 6, 6]","[6, 5]",1,1,23,69
30,"[6, 5, 3]","[6, 3]",1,1,22,68
31,"[3, 2, 2]","[2, 2]",1,1,21,67
32,"[6, 1, 1]","[5, 1]",1,1,20,66
33,"[6, 5, 2]","[4, 2]",0,2,20,64
34,"[5, 4, 3]","[6, 6]",2,0,18,64
35,"[6, 6, 1]","[4, 4]",0,2,18,62
36,"[5, 4, 3]","[6, 6]",2,0,16,62
37,"[6, 5, 4]","[1, 1]",0,2,16,60
38,"[5, 4, 2]","[1, 1]",0,2,16,58
39,"[3, 3, 1]","[6, 3]",2,0,14,58
40,"[4, 3, 3]","[6, 3]",2,0,12,58
41,"[3, 2, 2]","[4, 1]",1,1,11,57
42,"[5, 2, 1]","[3, 2]",1,1,10,56
43,"[6, 3, 2]","[6, 6]",2,0,8,56
44,"[5, 4, 2]","[6, 2]",1,1,7,55
45,"[4, 3, 2]","[5, 1]",1,1,6,54
46,"[6, 5, 1]","[5, 2]",0,2,6,52
47,"[3, 2, 1]","[5, 2]",2,0,4,52
48,"[5, 4, 1]","[5, 3]",1,1,3,51
49,"[5, 3, 1]","[5, 1]",1,1,2,50
50,"[2, 1]","[3, 1]",2,0,0,50
